数据年月,商品编码,商品名称,美元
201709,2819,铬的氧化物及氢氧化物,4112388
201709,2820,锰的氧化物,9226575
201709,2821,铁的氧化物及氢氧化物...,23663796
201709,2822,钴的氧化物及氢氧化物...,40369457
201709,2823,钛的氧化物,10162714
201709,2824,铅的氧化物；铅丹及铅...,532866
201709,2825,肼（联氨）、胲（羟胺...,92421139
201709,2826,氟化物；氟硅酸盐、氟...,22555927
201709,2827,氯化物、氯氧化物及氢...,38341042
201709,2828,次氯酸盐；商品次氯酸...,11157321
201709,2829,氯酸盐及高氯酸盐；溴...,3211733
201709,2830,硫化物；多硫化物，不...,8159344
201709,2831,连二亚硫酸盐及次硫酸...,4128092
201709,2832,亚硫酸盐；硫代硫酸盐,7338963
201709,2833,硫酸盐；矾；过硫酸盐,71048987
201709,2834,亚硝酸盐；硝酸盐,16565159
201709,2835,次磷酸盐、亚磷酸盐及...,73026683
201709,2836,碳酸盐；过碳酸盐；含...,64828947
201709,2837,氰化物、氧氰化物及氰...,9501812
201709,2839,硅酸盐；商品碱金属硅...,8501067
201709,2840,硼酸盐及过硼酸盐,2036462
201709,2841,金属酸盐及过金属酸盐,67934564
201709,2842,其他无机酸盐及过氧酸...,19551383
201709,2843,胶态贵金属；贵金属的...,12774827
201709,2844,放射性化学元素及放射...,119419542
201709,2845,品目2844以外的同...,1430159
201709,2846,稀土金属、钇、钪及其...,32212422
201709,2847,过氧化氢，不论是否用...,137301
201709,2849,碳化物，不论是否已有...,53585607
201709,2850,氢化物、氮化物、叠氮...,8945418
201709,2853,磷化物，不论是否已有...,41041300
201709,2901,无环烃,6109376
201709,2902,环烃,34759060
201709,2903,烃的卤化衍生物,142642550
201709,2904,烃的磺化、硝化或亚硝...,15506772
201709,2905,无环醇及其卤化、磺化...,83033739
201709,2906,环醇及其卤化、磺化、...,37778413
201709,2907,酚；酚醇,18069777
201709,2908,酚及酚醇的卤化、磺化...,3695723
201709,2909,醚、醚醇、醚酚、醚醇...,59575826
201709,2910,三节环环氧化物、环氧...,8483062
201709,2911,缩醛及半缩醛，不论是...,563959
201709,2912,醛，不论是否含有其他...,28032542
201709,2913,品目2912产品的卤...,2245271
201709,2914,酮及醌，不论是否含有...,90190866
201709,2915,饱和无环一元羧酸及其...,147924392
201709,2916,不饱和无环一元羧酸、...,114556040
201709,2917,多元羧酸及其酸酐、酰...,149357591
201709,2918,含附加含氧基的羧酸及...,212546828
201709,2919,磷酸脂及其盐，包括乳...,33598576
201709,2920,其他非金属无机酸酯（...,17768344
201709,2921,氨基化合物,162999924
201709,2922,含氧基氨基化合物,247480192
201709,2923,季铵盐及季铵碱；卵磷...,26593314
201709,2924,羧基酰胺基化合物；碳...,114989944
201709,2925,羧基酰亚胺化合物（包...,24547454
201709,2926,腈基化合物,51972847
201709,2927,重氮化合物、偶氮化合...,15173284
201709,2928,肼（联氨）及胲（羟胺...,9702664
201709,2929,其他含氮基化合物,67675605
201709,2930,有机硫化合物,129082544
201709,2931,其他有机—无机化合物,140103167
201709,2932,仅含氧杂原子的杂环化...,177728708
201709,2933,仅含有氮杂原子的杂环...,565996142
201709,2934,核酸及其盐，不论是否...,183508884
201709,2935,磺（酰）胺,50002527
201709,2936,天然或合成再制的维生...,241159940
201709,2937,天然或合成再制的激素...,55291270
201709,2938,天然或合成再制的苷（...,35298672
201709,2939,天然或合成再制的生物...,9795012
201709,2940,化学纯糖，但蔗糖、乳...,8633567
201709,2941,抗菌素,249780193
201709,2942,其他有机化合物,6354810
201709,3001,已干燥的器官疗法用腺...,80579006
201709,3002,人血；治病、防病或诊...,49450250
201709,3003,两种或两种以上成分混...,60235212
201709,3004,由混合或非混合产品构...,255272599
201709,3005,软填料、纱布、绷带及...,107866575
201709,3006,本章注释4 所规定的...,69850362
201709,3101,动物或植物肥料，不论...,1381369
201709,3102,矿物氮肥及化学氮肥,114788878
201709,3103,矿物磷肥及化学磷肥,32901198
201709,3104,矿物钾肥及化学钾肥,6160762
201709,3105,含氮、磷、钾中二种或...,305151777
201709,3201,植物鞣料浸膏；鞣酸及...,150275
201709,3202,有机合成鞣料；无机鞣...,1850531
201709,3203,动植物质着色料（包括...,11670580
201709,3204,有机合成着色料，不论...,186972477
201709,3206,其他着色料；本章注释...,192175829
201709,3207,陶瓷、搪瓷及玻璃工业...,22115718
201709,3208,以合成聚合物或化学改...,40664105
201709,3209,以合成聚合物或化学改...,8210161
201709,3210,其他油漆及清漆（包括...,2163863
201709,3211,配制的催干剂,775899
201709,3212,制造油漆（含瓷漆）用...,5379429
201709,3213,艺术家、学生和广告美...,23637263
201709,3214,安装玻璃用油灰、接缝...,17772338
201709,3215,印刷油墨、书写或绘图...,20992658
201709,3301,精油（无萜或含萜），...,32224029
201709,3302,工业原料用的混合香料...,25921422
201709,3303,香水及花露水,25586416
201709,3304,美容品或化妆品及护肤...,192721165
201709,3305,护发品,22645971
201709,3306,口腔及牙齿清洁剂，包...,38314401
201709,3307,剃须用制剂、人体除臭...,126046287
201709,3401,肥皂；作肥皂用的有机...,46885517
201709,3402,有机表面活性剂（肥皂...,154693840
201709,3403,润滑剂（包括以润滑剂...,15387058
201709,3404,人造蜡及调制蜡,5904969
201709,3405,鞋靴、家具、地板、车...,9384930
201709,3406,各种蜡烛及类似品,58832878
201709,3407,塑型用膏，包括供儿童...,17935902
201709,3501,酪蛋白、酪蛋白酸盐及...,385279
201709,3502,白蛋白（包括按重量计...,79597
201709,3503,明胶（包括长方形、正...,5273460
201709,3504,蛋白胨及其衍生物；其...,33157744
201709,3505,糊精及其他改性淀粉（...,6289695
