数据年月,商品编码,商品名称,人民币
202501,3818,经掺杂用于电子工业的...,1411960985
202501,3819,闸用液压油及其他液压...,23004588
202501,3820,防冻剂及解冻剂,23759744
202501,3821,制成的供微生物（包括...,49517855
202501,3822,附于衬背上的诊断或实...,1008427374
202501,3823,工业用单羧脂肪酸；精...,62808721
202501,3824,铸模及铸芯用粘合剂；...,4545793369
202501,3825,其他品目未列名的化学...,8603716
202501,3826,生物柴油及其混合物，...,178836150
202501,3827,其他品目未列名的含甲...,14613824
202501,3901,初级形状的乙烯聚合物,1343002239
202501,3902,初级形状的丙烯或其他...,1451809245
202501,3903,初级形状的苯乙烯聚合...,881936627
202501,3904,初级形状的氯乙烯或其...,2313056377
202501,3905,初级形状的乙酸乙烯酯...,523684748
202501,3906,初级形状的丙烯酸聚合...,1429360372
202501,3907,初级形状的聚缩醛、其...,7389770175
202501,3908,初级形状的聚酰胺,1151395862
202501,3909,初级形状的氨基树脂、...,1859232763
202501,3910,初级形状的聚硅氧烷,813180698
202501,3911,初级形状的石油树脂、...,881311265
202501,3912,初级形状的其他品目未...,714402730
202501,3913,初级形状的其他品目未...,556982063
202501,3914,初级形状的离子交换剂...,253153558
202501,3915,塑料的废料、下脚料及...,12005784
202501,3916,塑料单丝（截面直径＞...,931974788
202501,3917,塑料制的管子及其附件...,3482757420
202501,3918,块状或成卷的塑料铺地...,4936657824
202501,3919,自粘的塑料板、片、膜...,4344332582
202501,3920,其他非泡沫塑料的板、...,8190292274
202501,3921,其他塑料板、片、膜、...,2695292112
202501,3922,塑料浴缸、淋浴盘、洗...,1078153999
202501,3923,供运输或包装货物用的...,9873095231
202501,3924,塑料制的餐具、厨房用...,11308840681
202501,3925,其他品目未列名的建筑...,2776740532
202501,3926,其他塑料制品及品目3...,22249068499
202501,4001,天然橡胶、巴拉塔胶、...,20862674
202501,4002,合成橡胶及从油类提取...,1411184543
202501,4003,再生橡胶，初级形状或...,62162017
202501,4004,橡胶（硬质橡胶除外）...,2388652
202501,4005,未硫化的复合橡胶，初...,141363711
202501,4006,其他形状（例如，杆、...,10390076
202501,4007,硫化橡胶线及绳,104013615
202501,4008,硫化橡胶（硬质橡胶除...,334221916
202501,4009,硫化橡胶（硬质橡胶除...,1255696045
202501,4010,硫化橡胶制的输送带或...,1178233520
202501,4011,新的充气橡胶轮胎,13389666175
202501,4012,翻新的或旧的充气橡胶...,145601041
202501,4013,橡胶内胎,471310883
202501,4014,硫化橡胶（硬质橡胶除...,105592865
202501,4015,硫化橡胶（硬质橡胶除...,1504813706
202501,4016,硫化橡胶（硬质橡胶除...,2824367127
202501,4017,各种形状的硬质橡胶（...,37529670
202501,4101,生牛皮（包括水牛皮）...,10496525
202501,4102,绵羊或羔羊生皮（鲜的...,4969034
202501,4103,其他生皮（鲜的、盐腌...,734739
202501,4104,经鞣制的不带毛牛皮（...,87361690
202501,4105,经鞣制的不带毛绵羊或...,45252727
202501,4106,经鞣制的其他不带毛动...,6974910
202501,4107,经鞣制或半硝处理后进...,470479034
202501,4112,经鞣制或半硝处理后进...,14587153
202501,4113,鞣制或半硝处理后进一...,39668876
202501,4114,油鞣皮革（包括结合鞣...,6035538
202501,4115,以皮革或皮革纤维为基...,5445170
202501,4201,各种材料制成的鞍具及...,666029041
202501,4202,衣箱、提箱、小手袋、...,22219891150
202501,4203,皮革或再生皮革制的衣...,521587774
202501,4205,皮革或再生皮革的其他...,249659257
202501,4206,肠线（蚕胶丝除外）、...,303210
202501,4301,生毛皮（包括适合加工...,225480
202501,4302,未缝制或已缝制（不加...,139925645
202501,4303,毛皮制的衣服、衣着附...,198875240
202501,4304,人造毛皮及其制品,56675637
202501,4401,薪柴（圆木段、块、枝...,3826171
202501,4402,木炭（包括果壳炭及果...,53499662
202501,4404,箍木；木劈条；已削尖...,2456895
202501,4405,木丝；木粉,1691964
202501,4406,铁道及电车道枕木,67282
202501,4407,经纵锯、纵切、刨切或...,62669198
202501,4408,饰面用单板（包括刨切...,330392463
202501,4409,任何一边、端或面制成...,132094867
202501,4410,碎料板、定向刨花板（...,195018985
202501,4411,木纤维板或其他木质材...,974273892
202501,4412,胶合板、单板饰面板及...,3386128279
202501,4413,强化木，成块、板、条...,14598408
202501,4414,木制的画框、相框、镜...,382508743
202501,4415,包装木箱、木盒、板条...,67359077
202501,4416,木制的大桶、琵琶桶、...,2612636
202501,4417,木制的工具、工具支架...,20689112
202501,4418,建筑用木工制品，包括...,1146975183
202501,4419,木制餐具及厨房用具,1052184380
202501,4420,镶嵌木（包括细工镶嵌...,710346284
202501,4421,其他木制品,2889740820
202501,4501,未加工或简单加工的天...,909230
202501,4503,天然软木制品,191426
202501,4504,压制软木（不论是否使...,37252775
202501,4601,用编结材料编成的缏条...,257674750
202501,4602,用编结材料直接编成或...,860416416
202501,4701,机械木浆,1262311
202501,4703,烧碱木浆或硫酸盐木浆...,52681152
202501,4704,亚硫酸盐木浆，但溶解...,1543197
202501,4705,用机械与化学联合制浆...,2894434
202501,4706,从回收（废料）纸或纸...,104039948
202501,4707,回收（废碎）纸或纸板,1712477
202501,4801,成卷或成张的新闻纸,8507558
202501,4802,书写、印刷或类似用途...,780412116
202501,4803,卫生纸、面巾纸、餐巾...,230426040
202501,4804,成卷或成张的其他未经...,91396826
202501,4805,成卷或成张的其他未经...,492891504
202501,4806,成卷或成张的植物羊皮...,179978990
202501,4807,成卷或成张的复合纸及...,9509194
202501,4808,成卷成张的瓦楞纸及纸...,45153065
202501,4809,复写纸、自印复写纸及...,191332013
202501,4810,成卷或成张矩形（包括...,2465000038
202501,4811,成卷或成张矩形（包括...,2143721973
202501,4812,纸浆制的滤块、滤板及...,1125962
202501,4813,卷烟纸，不论是否切成...,134099356
202501,4814,壁纸及类似品；窗用透...,241925356
202501,4816,复写纸、自印复写纸及...,63081798
